,Mut_num,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
AKAP2,10,8,500,0.02,No
GALNT5,8,8,500,0.02,No
SEC31A,9,8,500,0.02,Yes
MORC2,8,8,500,0.02,No
ABLIM3,8,8,500,0.02,No
DHX30,8,8,500,0.02,No
LIMCH1,9,8,500,0.02,No
DAAM1,8,8,500,0.02,No
STK38L,8,8,500,0.02,No
PALLD,8,8,500,0.02,No
KDM4C,8,8,500,0.02,Yes
IQSEC2,8,8,500,0.02,No
CLASP2,8,8,500,0.02,No
ZC3H3,8,8,500,0.02,No
PASK,8,8,500,0.02,Yes
RGL1,8,8,500,0.02,No
KANK1,9,8,500,0.02,No
COBL,9,8,500,0.02,No
ANKRD12,8,8,500,0.02,No
TUT4,8,8,500,0.02,No
DOCK9,9,8,500,0.02,No
PPP1R13B,8,8,500,0.02,No
ARHGEF18,8,8,500,0.02,No
ADNP,8,8,500,0.02,No
BRD4,8,8,500,0.02,Yes
TFIP11,8,8,500,0.02,No
NGEF,8,8,500,0.02,No
KLK5,8,8,500,0.02,No
POLR1A,10,8,500,0.02,No
AHCTF1,8,8,500,0.02,No
PCDHGA12,8,8,500,0.02,No
SUSD5,10,8,500,0.02,No
CFAP61,8,8,500,0.02,No
ARHGEF26,8,8,500,0.02,No
KLK13,9,8,500,0.02,No
TANC2,8,8,500,0.02,No
EPC2,8,8,500,0.02,No
OR2T1,8,8,500,0.02,No
PABPC1,13,8,500,0.02,No
MLH3,9,8,500,0.02,No
ATP2C1,8,8,500,0.02,No
SND1,10,8,500,0.02,Yes
BBS9,9,8,500,0.02,No
SLCO4A1,8,8,500,0.02,No
SLCO3A1,9,8,500,0.02,No
SLC27A6,9,8,500,0.02,No
UBN1,8,8,500,0.02,No
ST8SIA5,8,8,500,0.02,No
PADI1,10,8,500,0.02,No
SPOCK3,8,8,500,0.02,No
NTM,9,8,500,0.02,No
RXFP3,8,8,500,0.02,No
MEX3C,8,8,500,0.02,No
TAOK3,8,8,500,0.02,No
ZNF117,8,8,500,0.02,No
DDX41,8,8,500,0.02,Yes
SUCO,8,8,500,0.02,No
PCF11,8,8,500,0.02,No
CDK12,11,8,500,0.02,Yes
ADA2,9,8,500,0.02,No
BCL11A,10,8,500,0.02,Yes
FGFRL1,8,8,500,0.02,No
SSH1,11,8,500,0.02,No
MAGEL2,9,8,500,0.02,No
TRPM7,8,8,500,0.02,No
NXPE4,8,8,500,0.02,No
CNTLN,9,8,500,0.02,No
ZCCHC2,8,8,500,0.02,No
BCOR,9,8,500,0.02,Yes
TBC1D8B,8,8,500,0.02,No
INO80D,8,8,500,0.02,No
CASZ1,9,8,500,0.02,No
NSD3,8,8,500,0.02,Yes
FOCAD,10,8,500,0.02,No
TRMT10C,8,8,500,0.02,No
EXD3,8,8,500,0.02,No
FAM120C,8,8,500,0.02,No
TMEM132A,9,8,500,0.02,No
43891,8,8,500,0.02,No
BANK1,10,8,500,0.02,No
HEATR3,8,8,500,0.02,No
ENOX1,9,8,500,0.02,No
ANO1,8,8,500,0.02,No
ARMC4,8,8,500,0.02,No
MAP1S,8,8,500,0.02,No
SBNO1,8,8,500,0.02,No
RAVER2,8,8,500,0.02,No
VRTN,9,8,500,0.02,No
C5ORF22,8,8,500,0.02,No
RNPC3,10,8,500,0.02,No
DDX60,8,8,500,0.02,No
CARMIL1,8,8,500,0.02,No
SYBU,8,8,500,0.02,No
PPP4R3A,8,8,500,0.02,No
IARS2,8,8,500,0.02,No
ZFP64,8,8,500,0.02,No
CDK5RAP2,9,8,500,0.02,No
PRR11,11,8,500,0.02,No
FGD6,9,8,500,0.02,No
ZNF415,9,8,500,0.02,No
KDM3A,8,8,500,0.02,No
ALLC,9,8,500,0.02,No
ERBIN,8,8,500,0.02,No
SULF2,8,8,500,0.02,No
PCDHGB3,10,8,500,0.02,No
PCDHGA4,9,8,500,0.02,No
PCDHB3,9,8,500,0.02,No
PCDHA11,9,8,500,0.02,No
TEX13A,8,8,500,0.02,No
SUSD2,10,8,500,0.02,No
CPXM1,8,8,500,0.02,No
PARD3,8,8,500,0.02,No
ZC3HAV1,8,8,500,0.02,No
WRNIP1,9,8,500,0.02,No
EMSY,8,8,500,0.02,Yes
MEPE,10,8,500,0.02,No
RGL3,9,8,500,0.02,No
RTN4,8,8,500,0.02,No
TMEM63C,8,8,500,0.02,No
TTYH1,8,8,500,0.02,No
MRS2,8,8,500,0.02,No
SLC24A3,8,8,500,0.02,No
SEMA6A,9,8,500,0.02,No
STAMBPL1,9,8,500,0.02,No
KIF17,8,8,500,0.02,No
CRAMP1,8,8,500,0.02,No
ZNF687,10,8,500,0.02,No
PDZD4,8,8,500,0.02,No
DIP2B,8,8,500,0.02,No
KLHL1,9,8,500,0.02,No
LRCH2,8,8,500,0.02,No
CCDC146,8,8,500,0.02,No
CAMSAP3,10,8,500,0.02,No
FBRSL1,8,8,500,0.02,No
NCKAP5L,8,8,500,0.02,No
PPP4R4,10,8,500,0.02,No
WDR19,8,8,500,0.02,No
GBA3,8,8,500,0.02,No
GRHL3,9,8,500,0.02,No
SLC4A5,12,8,500,0.02,No
EPS15L1,8,8,500,0.02,No
NYX,8,8,500,0.02,No
RIC8A,8,8,500,0.02,No
NEUROD6,8,8,500,0.02,No
MMP27,8,8,500,0.02,No
NPAS3,8,8,500,0.02,No
SEMA4A,10,8,500,0.02,No
NSD1,8,8,500,0.02,Yes
COP1,8,8,500,0.02,Yes
XPO4,8,8,500,0.02,No
CDH24,8,8,500,0.02,No
GIGYF1,9,8,500,0.02,No
SMYD3,8,8,500,0.02,Yes
UPF3A,9,8,500,0.02,No
BRD9,8,8,500,0.02,No
TRAK2,9,8,500,0.02,No
PRR14,8,8,500,0.02,No
MLPH,9,8,500,0.02,No
OR51G1,8,8,500,0.02,No
ZXDC,8,8,500,0.02,No
FYCO1,8,8,500,0.02,No
OR4K1,8,8,500,0.02,No
SAP130,9,8,500,0.02,No
TANGO6,8,8,500,0.02,No
FAM184A,9,8,500,0.02,No
C11ORF80,9,8,500,0.02,No
TMC5,8,8,500,0.02,No
BTNL8,8,8,500,0.02,No
KIAA0319L,8,8,500,0.02,No
PDZD7,9,8,500,0.02,No
DENND1C,10,8,500,0.02,No
WWC2,9,8,500,0.02,No
PGAP1,8,8,500,0.02,No
LRRTM4,9,8,500,0.02,No
VCPIP1,9,8,500,0.02,No
CCDC33,9,8,500,0.02,No
HKDC1,9,8,500,0.02,No
ALPK1,10,8,500,0.02,No
CFAP43,10,8,500,0.02,No
TARS2,9,8,500,0.02,No
DDHD1,8,8,500,0.02,No
KCNH6,8,8,500,0.02,No
COLEC12,9,8,500,0.02,No
OR8J3,9,8,500,0.02,No
OR2C3,8,8,500,0.02,No
TXNDC5,9,8,500,0.02,No
NUAK2,10,8,500,0.02,No
SLCO5A1,9,8,500,0.02,No
PITPNM3,9,8,500,0.02,No
TAS1R3,8,8,500,0.02,No
ATAD3B,9,8,500,0.02,No
FAM160A2,9,8,500,0.02,No
ZNRF3,8,8,500,0.02,Yes
USP48,10,8,500,0.02,No
ADGRA1,8,8,500,0.02,No
ZNF528,9,8,500,0.02,No
ZNF496,8,8,500,0.02,No
ADGRG7,8,8,500,0.02,No
ZSCAN10,8,8,500,0.02,No
CEP89,8,8,500,0.02,No
TOX2,8,8,500,0.02,No
SHANK3,10,8,500,0.02,No
CCNB3,12,8,500,0.02,Yes
STON2,8,8,500,0.02,No
DCLK3,8,8,500,0.02,No
SCIN,8,8,500,0.02,No
ABCC10,10,8,500,0.02,No
KLC4,8,8,500,0.02,No
EMILIN3,8,8,500,0.02,No
KLHL13,10,8,500,0.02,No
SPOCD1,8,8,500,0.02,No
ZNF251,8,8,500,0.02,No
FMNL3,8,8,500,0.02,No
DDX60L,10,8,500,0.02,No
BOC,9,8,500,0.02,No
ELMSAN1,11,8,500,0.02,Yes
MFSD4B,8,8,500,0.02,No
TTC30A,9,8,500,0.02,No
DSEL,8,8,500,0.02,No
HELB,8,8,500,0.02,No
ABCC12,8,8,500,0.02,No
KIF12,9,8,500,0.02,No
HELQ,8,8,500,0.02,No
GPRIN1,8,8,500,0.02,No
STK11IP,10,8,500,0.02,No
GALNT13,8,8,500,0.02,No
FHAD1,10,8,500,0.02,No
FCRL3,15,8,500,0.02,No
PHACTR3,8,8,500,0.02,No
SLC26A8,8,8,500,0.02,No
ACAP3,10,8,500,0.02,No
AGAP1,8,8,500,0.02,No
AGAP3,8,8,500,0.02,No
WFIKKN1,8,8,500,0.02,No
ZC3H18,9,8,500,0.02,No
WDR81,8,8,500,0.02,No
ZNF816,8,8,500,0.02,No
CCDC105,8,8,500,0.02,No
AXDND1,9,8,500,0.02,No
OR2T11,8,8,500,0.02,No
KLHDC7A,8,8,500,0.02,No
OR10Z1,10,8,500,0.02,No
ADAD1,8,8,500,0.02,No
NOBOX,9,8,500,0.02,No
RALYL,8,8,500,0.02,No
C9ORF131,8,8,500,0.02,No
OR13C5,8,8,500,0.02,No
OR51E1,8,8,500,0.02,No
CEP128,10,8,500,0.02,No
TMC4,9,8,500,0.02,No
TEKT4,8,8,500,0.02,No
CCDC80,8,8,500,0.02,No
SPICE1,8,8,500,0.02,No
ZNF827,10,8,500,0.02,No
KLB,9,8,500,0.02,No
DAB2IP,9,8,500,0.02,No
SLC36A2,8,8,500,0.02,No
ZNF746,9,8,500,0.02,No
CLVS1,8,8,500,0.02,No
CAMSAP1,11,8,500,0.02,No
LMNTD1,8,8,500,0.02,No
EML5,8,8,500,0.02,No
43900,9,8,500,0.02,No
LRRN4,8,8,500,0.02,No
TMPRSS6,8,8,500,0.02,No
LCTL,9,8,500,0.02,No
ARL13B,10,8,500,0.02,No
AMER2,8,8,500,0.02,No
OR4S2,9,8,500,0.02,No
OR5R1,8,8,500,0.02,No
ZNF804B,10,8,500,0.02,No
TMEM26,8,8,500,0.02,No
ARMC3,8,8,500,0.02,No
TPCN2,8,8,500,0.02,No
OR4D6,8,8,500,0.02,No
SPERT,10,8,500,0.02,No
KIF6,8,8,500,0.02,No
MMD2,10,8,500,0.02,No
ATXN7L1,9,8,500,0.02,No
ADGRF2,9,8,500,0.02,No
MAPK15,8,8,500,0.02,No
LRRC43,8,8,500,0.02,No
PCSK9,8,8,500,0.02,No
TMEM151A,9,8,500,0.02,No
TCERG1L,8,8,500,0.02,No
SUN3,9,8,500,0.02,No
MDGA1,8,8,500,0.02,No
OR4C12,8,8,500,0.02,No
GAS2L3,8,8,500,0.02,No
MYO1H,8,8,500,0.02,No
PRTG,8,8,500,0.02,No
OR4N4,8,8,500,0.02,No
FADS6,8,8,500,0.02,No
ZNF780A,10,8,500,0.02,No
CRB2,8,8,500,0.02,No
LURAP1L,8,8,500,0.02,No
RTL5,8,8,500,0.02,No
OR6C2,9,8,500,0.02,No
PLCXD3,8,8,500,0.02,No
OTOP3,8,8,500,0.02,No
SLC6A18,8,8,500,0.02,No
KRTAP10-10,8,8,500,0.02,No
GPR141,8,8,500,0.02,No
ZNF773,9,8,500,0.02,No
SKIDA1,8,8,500,0.02,No
OR2L8,10,8,500,0.02,No
AGMO,8,8,500,0.02,No
C17ORF97,9,8,500,0.02,No
EML6,8,8,500,0.02,No
ERVFRD-1,9,8,500,0.02,No
DDI1,9,8,500,0.02,No
ZNF716,9,8,500,0.02,No
OR4Q3,9,8,500,0.02,No
OR2B3,8,8,500,0.02,No
HRCT1,8,8,500,0.02,No
TMEM229A,8,8,500,0.02,No
SBK3,8,8,500,0.02,No
MICA,8,8,500,0.02,No
ACO2,7,7,500,0.01,No
ACTG1,8,7,500,0.01,Yes
ACTN1,7,7,500,0.01,No
ACTN2,8,7,500,0.01,No
ACVR1B,7,7,500,0.01,Yes
ACVR2A,7,7,500,0.01,Yes
ADCY9,8,7,500,0.01,No
PARP1,7,7,500,0.01,Yes
ADRA1D,8,7,500,0.01,No
AP2A2,7,7,500,0.01,No
APLNR,7,7,500,0.01,Yes
NR0B1,7,7,500,0.01,No
ALDH1A1,9,7,500,0.01,No
ALDH3A1,7,7,500,0.01,No
ALDH3B1,7,7,500,0.01,No
APBA1,7,7,500,0.01,No
APBB1,7,7,500,0.01,No
APOA4,7,7,500,0.01,No
APOH,7,7,500,0.01,No
APP,10,7,500,0.01,No
ATP2A1,7,7,500,0.01,No
ATP2A3,7,7,500,0.01,No
ATP2B4,9,7,500,0.01,No
ATP6V1A,8,7,500,0.01,No
ATP6V1B2,8,7,500,0.01,Yes
BICD1,7,7,500,0.01,No
BMPR2,7,7,500,0.01,No
BMX,7,7,500,0.01,No
C4A,7,7,500,0.01,No
ZNHIT2,7,7,500,0.01,No
MYRF,7,7,500,0.01,No
CAPN3,7,7,500,0.01,No
RUNX1,8,7,500,0.01,Yes
RUNX3,7,7,500,0.01,No
CD1A,10,7,500,0.01,No
CD1E,9,7,500,0.01,No
CD33,7,7,500,0.01,No
CDC25B,7,7,500,0.01,No
CDH5,8,7,500,0.01,No
CDH15,11,7,500,0.01,No
CDSN,7,7,500,0.01,No
CEACAM5,7,7,500,0.01,No
CHML,7,7,500,0.01,No
CLCN4,7,7,500,0.01,No
CNGA3,7,7,500,0.01,No
COL8A1,9,7,500,0.01,No
CPD,9,7,500,0.01,No
CRHR2,7,7,500,0.01,No
CRX,7,7,500,0.01,No
CTNND1,8,7,500,0.01,No
CYLC2,7,7,500,0.01,No
CYP2C9,7,7,500,0.01,No
CYP2F1,7,7,500,0.01,No
DGKQ,7,7,500,0.01,No
DDB1,7,7,500,0.01,No
DNM2,7,7,500,0.01,Yes
DNMT1,8,7,500,0.01,Yes
DPYD,8,7,500,0.01,No
DPYS,7,7,500,0.01,No
DSC3,9,7,500,0.01,No
EBF1,8,7,500,0.01,Yes
ECE1,7,7,500,0.01,No
PHC1,9,7,500,0.01,No
EIF4A2,7,7,500,0.01,Yes
EIF5,8,7,500,0.01,No
ENPEP,7,7,500,0.01,No
EPB41L2,7,7,500,0.01,No
EPHA1,7,7,500,0.01,No
ERCC4,7,7,500,0.01,Yes
ERN1,7,7,500,0.01,No
ETV1,7,7,500,0.01,Yes
EXT1,7,7,500,0.01,Yes
EXTL1,7,7,500,0.01,No
F13B,7,7,500,0.01,No
FCGR2A,8,7,500,0.01,No
FMO2,7,7,500,0.01,No
FMO3,8,7,500,0.01,No
FMOD,8,7,500,0.01,No
FPR3,7,7,500,0.01,No
NR5A2,7,7,500,0.01,No
FUT8,7,7,500,0.01,No
FYB1,7,7,500,0.01,No
GAA,7,7,500,0.01,No
GABRA6,7,7,500,0.01,Yes
GABRG3,7,7,500,0.01,No
GAD2,8,7,500,0.01,No
GATA2,7,7,500,0.01,Yes
GK2,7,7,500,0.01,No
GLDC,7,7,500,0.01,No
GLUD2,8,7,500,0.01,No
GNAL,8,7,500,0.01,No
GOLGA1,7,7,500,0.01,No
GPR37,8,7,500,0.01,No
GRK4,7,7,500,0.01,No
GRK5,7,7,500,0.01,No
GRID1,8,7,500,0.01,No
GRIK1,8,7,500,0.01,No
GRIK5,7,7,500,0.01,No
GTF2E1,7,7,500,0.01,No
GUCY2C,7,7,500,0.01,No
GYS1,7,7,500,0.01,No
HIST1H1E,9,7,500,0.01,Yes
HCLS1,7,7,500,0.01,No
ONECUT1,7,7,500,0.01,No
HOXA3,8,7,500,0.01,Yes
HSPA2,7,7,500,0.01,No
HTR2C,7,7,500,0.01,No
IDH1,7,7,500,0.01,Yes
IL7R,7,7,500,0.01,Yes
ILF3,8,7,500,0.01,No
IRS1,7,7,500,0.01,Yes
ITGA9,7,7,500,0.01,No
ITGAL,7,7,500,0.01,No
ITPKB,8,7,500,0.01,No
KCNA3,8,7,500,0.01,No
KCNC3,7,7,500,0.01,No
KCNN2,8,7,500,0.01,No
KIF3C,8,7,500,0.01,No
KIFC3,7,7,500,0.01,No
KLK2,7,7,500,0.01,Yes
KRT8,13,7,500,0.01,No
KRT13,8,7,500,0.01,No
KRT82,8,7,500,0.01,No
L1CAM,12,7,500,0.01,No
LAIR1,8,7,500,0.01,No
LAMB1,7,7,500,0.01,No
LEPR,12,7,500,0.01,No
LETM1,7,7,500,0.01,No
LIFR,10,7,500,0.01,Yes
LIPE,8,7,500,0.01,No
LLGL2,9,7,500,0.01,No
MAGEB3,7,7,500,0.01,No
MAP6,7,7,500,0.01,No
MCM3,7,7,500,0.01,No
MEF2A,7,7,500,0.01,No
MAP3K3,7,7,500,0.01,No
MGAT3,7,7,500,0.01,No
AFF1,8,7,500,0.01,Yes
MNDA,7,7,500,0.01,No
MOV10,7,7,500,0.01,No
MYO1B,8,7,500,0.01,No
MSN,8,7,500,0.01,Yes
MTR,7,7,500,0.01,No
MX1,7,7,500,0.01,No
MYO5A,8,7,500,0.01,Yes
NCAM1,9,7,500,0.01,No
NDUFS1,8,7,500,0.01,No
NFATC4,7,7,500,0.01,No
NKTR,7,7,500,0.01,No
NTRK3,7,7,500,0.01,Yes
ROR1,8,7,500,0.01,No
OAS3,8,7,500,0.01,No
ODF2,9,7,500,0.01,No
OPRL1,7,7,500,0.01,No
OPRM1,8,7,500,0.01,No
PABPC3,11,7,500,0.01,No
PAH,7,7,500,0.01,No
PCM1,7,7,500,0.01,Yes
PDE4A,8,7,500,0.01,No
PDE4B,7,7,500,0.01,No
PDE9A,7,7,500,0.01,No
ENPP3,8,7,500,0.01,No
PENK,7,7,500,0.01,No
PFKFB1,7,7,500,0.01,No
PHF2,7,7,500,0.01,No
SERPINA4,8,7,500,0.01,No
PIK3C3,8,7,500,0.01,Yes
PIK3R1,8,7,500,0.01,Yes
PLXNA1,7,7,500,0.01,No
PRRX1,7,7,500,0.01,Yes
POLRMT,8,7,500,0.01,No
PPP2R1A,7,7,500,0.01,Yes
PRKG1,7,7,500,0.01,No
MAPK10,7,7,500,0.01,No
EIF2AK2,7,7,500,0.01,No
PSMD8,7,7,500,0.01,No
PTH2R,7,7,500,0.01,No
QSOX1,8,7,500,0.01,No
PTPN4,8,7,500,0.01,No
PTPN14,9,7,500,0.01,No
PEX5,7,7,500,0.01,No
RAG1,7,7,500,0.01,No
RAP1GAP,8,7,500,0.01,No
RASGRF2,8,7,500,0.01,No
ARID4A,7,7,500,0.01,Yes
RBBP7,7,7,500,0.01,No
UPF1,7,7,500,0.01,Yes
RFX1,7,7,500,0.01,No
RFX3,7,7,500,0.01,No
RGS3,7,7,500,0.01,No
RGS12,7,7,500,0.01,No
BRD2,7,7,500,0.01,No
RPN1,8,7,500,0.01,Yes
RPS6KA2,7,7,500,0.01,No
RXRB,8,7,500,0.01,No
ATXN7,8,7,500,0.01,Yes
SCNN1A,7,7,500,0.01,No
SEC14L1,8,7,500,0.01,No
SH3BP2,7,7,500,0.01,No
SLAMF1,7,7,500,0.01,No
SLC1A5,7,7,500,0.01,No
SLC1A7,7,7,500,0.01,No
SLC5A1,7,7,500,0.01,No
SLC5A2,7,7,500,0.01,No
SLC6A2,9,7,500,0.01,No
SLC8A2,8,7,500,0.01,No
SLC11A1,7,7,500,0.01,No
SLC12A1,8,7,500,0.01,No
SLC13A1,9,7,500,0.01,No
SLC15A1,8,7,500,0.01,No
SLC34A1,7,7,500,0.01,No
SMARCA2,8,7,500,0.01,Yes
SMARCC2,7,7,500,0.01,No
SOX10,7,7,500,0.01,Yes
SPAG1,7,7,500,0.01,No
STIM1,8,7,500,0.01,No
SYCP1,7,7,500,0.01,No
TAF4,7,7,500,0.01,No
TAF4B,7,7,500,0.01,No
TAL1,7,7,500,0.01,Yes
TAP1,7,7,500,0.01,Yes
TARS,8,7,500,0.01,No
TFPI,7,7,500,0.01,No
TGM4,7,7,500,0.01,No
TGM2,11,7,500,0.01,No
TGM3,7,7,500,0.01,No
THRB,7,7,500,0.01,No
TIE1,7,7,500,0.01,No
ICAM5,7,7,500,0.01,No
TLE2,7,7,500,0.01,Yes
TLE3,8,7,500,0.01,Yes
SEC62,8,7,500,0.01,No
TLR1,7,7,500,0.01,No
TLR2,7,7,500,0.01,No
TRAPPC10,7,7,500,0.01,No
TMPRSS2,7,7,500,0.01,Yes
TOP2A,8,7,500,0.01,No
HSP90B1,8,7,500,0.01,No
TRPC5,8,7,500,0.01,No
TSC1,7,7,500,0.01,Yes
TTK,8,7,500,0.01,No
TYRP1,7,7,500,0.01,No
UGT8,7,7,500,0.01,No
UVRAG,7,7,500,0.01,No
WFS1,7,7,500,0.01,No
XPNPEP2,7,7,500,0.01,No
ZNF711,8,7,500,0.01,No
ZNF45,7,7,500,0.01,No
ZNF135,7,7,500,0.01,No
ZBTB16,7,7,500,0.01,Yes
ZNF157,7,7,500,0.01,No
ZNF217,7,7,500,0.01,Yes
MOGS,7,7,500,0.01,No
SCG2,8,7,500,0.01,No
FZD3,7,7,500,0.01,No
ADAM12,10,7,500,0.01,No
CUL5,7,7,500,0.01,No
ACOX3,7,7,500,0.01,No
FZD7,7,7,500,0.01,No
NCK2,7,7,500,0.01,No
DYRK3,8,7,500,0.01,No
TTF2,7,7,500,0.01,No
KLF11,7,7,500,0.01,No
PPFIBP1,8,7,500,0.01,Yes
CNTNAP1,7,7,500,0.01,No
NOP14,8,7,500,0.01,No
PDE8B,7,7,500,0.01,No
TP63,8,7,500,0.01,Yes
TNKS,7,7,500,0.01,No
IRS2,7,7,500,0.01,Yes
EIF3D,7,7,500,0.01,No
TNK1,7,7,500,0.01,No
MBTPS1,7,7,500,0.01,No
GBF1,7,7,500,0.01,No
CES2,7,7,500,0.01,No
GMPS,7,7,500,0.01,Yes
PROM1,7,7,500,0.01,No
KAT2B,7,7,500,0.01,No
SYNJ1,9,7,500,0.01,No
AP3D1,8,7,500,0.01,No
PLOD3,10,7,500,0.01,No
DOK2,9,7,500,0.01,No
PIGQ,7,7,500,0.01,No
TBX18,8,7,500,0.01,No
KCNQ4,7,7,500,0.01,No
DCLK1,8,7,500,0.01,No
GCNT3,7,7,500,0.01,No
PIWIL1,7,7,500,0.01,No
COPB2,7,7,500,0.01,No
ZBTB22,10,7,500,0.01,No
MED14,8,7,500,0.01,No
TRIP4,7,7,500,0.01,No
NDST3,7,7,500,0.01,No
SLC22A8,7,7,500,0.01,No
PCYT1B,7,7,500,0.01,No
GABBR2,9,7,500,0.01,No
GTF2IRD1,7,7,500,0.01,No
GCC2,7,7,500,0.01,No
EIF5B,13,7,500,0.01,No
RUBCN,7,7,500,0.01,No
NOS1AP,7,7,500,0.01,No
CEP104,7,7,500,0.01,No
CCP110,8,7,500,0.01,No
CLSTN3,8,7,500,0.01,No
KIAA0586,7,7,500,0.01,No
MAML1,8,7,500,0.01,No
JAKMIP2,7,7,500,0.01,No
ELMO1,7,7,500,0.01,No
GAB2,8,7,500,0.01,Yes
SEC24D,7,7,500,0.01,No
TELO2,7,7,500,0.01,No
UBAP2L,9,7,500,0.01,No
RABGAP1L,7,7,500,0.01,No
ARHGAP44,7,7,500,0.01,No
ATP2C2,9,7,500,0.01,No
PAN2,7,7,500,0.01,No
MFN2,7,7,500,0.01,No
PUM3,8,7,500,0.01,No
DCLRE1A,7,7,500,0.01,No
USP15,7,7,500,0.01,No
SLC23A2,7,7,500,0.01,No
THRAP3,7,7,500,0.01,No
THOC1,7,7,500,0.01,No
HDAC5,7,7,500,0.01,No
MAMLD1,10,7,500,0.01,No
SUGP2,10,7,500,0.01,No
FARP1,7,7,500,0.01,No
CHST4,9,7,500,0.01,No
RBM6,7,7,500,0.01,No
SLC17A2,8,7,500,0.01,No
GLYAT,7,7,500,0.01,No
AKAP8,7,7,500,0.01,No
SF3A1,7,7,500,0.01,No
RTN3,9,7,500,0.01,No
TAB1,7,7,500,0.01,No
ZBTB18,7,7,500,0.01,No
IPO7,8,7,500,0.01,No
AKAP3,9,7,500,0.01,No
SLC34A2,7,7,500,0.01,Yes
DPYSL4,7,7,500,0.01,No
ERN2,8,7,500,0.01,No
SLCO1B1,7,7,500,0.01,No
AVIL,7,7,500,0.01,No
SLC12A7,7,7,500,0.01,No
UTP14A,9,7,500,0.01,No
USP20,7,7,500,0.01,No
NPFFR2,7,7,500,0.01,No
MAGED2,7,7,500,0.01,No
DBF4,7,7,500,0.01,No
ASCC3,8,7,500,0.01,No
LILRA1,7,7,500,0.01,No
LILRA2,7,7,500,0.01,No
STON1,9,7,500,0.01,No
WWP2,7,7,500,0.01,No
TOPBP1,9,7,500,0.01,No
KERA,7,7,500,0.01,No
PRDM4,7,7,500,0.01,No
EMILIN1,8,7,500,0.01,No
CAPN10,8,7,500,0.01,No
WDR6,7,7,500,0.01,No
MAP4K1,7,7,500,0.01,No
ABCB8,7,7,500,0.01,No
ATXN2L,7,7,500,0.01,No
ITGA11,9,7,500,0.01,No
COBLL1,8,7,500,0.01,No
LMTK2,7,7,500,0.01,No
NTNG1,8,7,500,0.01,No
NLGN1,7,7,500,0.01,No
DZIP1,7,7,500,0.01,No
FAN1,7,7,500,0.01,No
SCMH1,8,7,500,0.01,No
EFR3B,8,7,500,0.01,No
PDCD11,8,7,500,0.01,Yes
CEP152,7,7,500,0.01,No
ZNF609,8,7,500,0.01,No
TBC1D9B,7,7,500,0.01,No
CMTR1,7,7,500,0.01,No
SWAP70,7,7,500,0.01,No
TTLL5,8,7,500,0.01,No
SPART,8,7,500,0.01,No
COLGALT2,7,7,500,0.01,No
RAD54L2,7,7,500,0.01,No
KDM6B,8,7,500,0.01,No
SMC5,9,7,500,0.01,No
MAST2,8,7,500,0.01,No
ZCCHC14,7,7,500,0.01,No
LPIN1,8,7,500,0.01,No
GANAB,7,7,500,0.01,No
FBXL7,7,7,500,0.01,No
PLEKHM2,7,7,500,0.01,No
ZC3H4,8,7,500,0.01,No
TBC1D1,7,7,500,0.01,No
DTX4,7,7,500,0.01,No
ARHGEF9,7,7,500,0.01,No
TMEM131L,7,7,500,0.01,No
DENND5A,7,7,500,0.01,No
CAMTA1,9,7,500,0.01,Yes
TASOR,8,7,500,0.01,No
KIAA1107,7,7,500,0.01,No
KIF13B,7,7,500,0.01,No
FKBP15,7,7,500,0.01,No
NCAPD3,7,7,500,0.01,No
SATB2,7,7,500,0.01,No
TRIM2,7,7,500,0.01,No
WASHC4,7,7,500,0.01,No
OBSL1,7,7,500,0.01,No
ECPAS,8,7,500,0.01,No
KCNH3,8,7,500,0.01,No
ABCA5,7,7,500,0.01,No
NUP188,8,7,500,0.01,No
ARHGAP45,8,7,500,0.01,No
TNPO3,7,7,500,0.01,No
CDK20,7,7,500,0.01,No
LPAR3,8,7,500,0.01,No
ZIM2,8,7,500,0.01,No
CEMIP2,7,7,500,0.01,No
AIPL1,7,7,500,0.01,No
SPDEF,7,7,500,0.01,No
WHRN,7,7,500,0.01,No
CCDC28A,7,7,500,0.01,No
SAMHD1,7,7,500,0.01,Yes
NECTIN3,7,7,500,0.01,No
KRT23,7,7,500,0.01,No
MOXD1,11,7,500,0.01,No
L3MBTL1,7,7,500,0.01,No
PLEKHG3,9,7,500,0.01,No
TOR1AIP1,7,7,500,0.01,No
EDRF1,7,7,500,0.01,No
IFT172,7,7,500,0.01,No
AK5,8,7,500,0.01,No
RPS6KC1,8,7,500,0.01,No
ZNF285,7,7,500,0.01,No
NPHP3,7,7,500,0.01,No
SMC1B,7,7,500,0.01,No
ARHGEF16,7,7,500,0.01,No
RPS6KA6,8,7,500,0.01,No
CDH19,8,7,500,0.01,No
CCDC22,8,7,500,0.01,No
IFT81,7,7,500,0.01,No
PKN3,8,7,500,0.01,No
DMGDH,8,7,500,0.01,No
SH3KBP1,7,7,500,0.01,No
CD209,7,7,500,0.01,No
SMARCAL1,8,7,500,0.01,No
UBQLN3,7,7,500,0.01,No
ITSN2,7,7,500,0.01,No
ASAP1,8,7,500,0.01,No
TAS2R1,7,7,500,0.01,No
KCTD3,7,7,500,0.01,No
CERCAM,7,7,500,0.01,No
FAM178B,10,7,500,0.01,No
ESF1,7,7,500,0.01,No
